Amount,Country,Offer ID,Tag,Time
$0.12,PH,#ee795c,#aggressive,2018-06-26 16:31:00
$4.80,FR,#3a81c4,#adult,2018-06-26 16:31:00
$0.36,HK,#35b935,#aggressive,2018-06-26 16:31:00
$2.16,US,#482626,#mainstream,2018-06-26 16:31:00
$0.36,JP,#2230c4,#aggressive,2018-06-26 16:31:00
$0.11,EG,#d48908,#aggressive,2018-06-26 16:31:00
$0.06,PK,#7b0e3b,#aggressive,2018-06-26 16:31:00
$0.56,IT,#9f185e,#aggressive,2018-06-26 16:31:00
$0.24,LK,#765d1f,#mainstream,2018-06-26 16:31:00
$2.80,IT,#f3e144,#mainstream,2018-06-26 16:31:00
$0.06,LY,#9ec2c1,#mainstream,2018-06-26 16:31:00
$0.09,IN,#fa0225,#aggressive,2018-06-26 16:31:00
$0.14,ID,#a4c589,#mainstream,2018-06-26 16:31:00
